Plate_ID,Well,Breeder_ID,Larva_ID,BreederF,BreederM
Plate 1(FC20200305),A1,Z2622-F7,20191209-Plate1-3G,Z2622-F7,Z2622-M7
Plate 1(FC20200305),A1,Z2622-F7,20191209-Plate1-3H,Z2622-F7,Z2622-M7
Plate 1(FC20200305),A1,Z2622-F7,20191209-Plate1-4A,Z2622-F7,Z2622-M7
Plate 1(FC20200305),A1,Z2622-F7,20191209-Plate1-4B,Z2622-F7,Z2622-M7
Plate 1(FC20200305),A1,Z2622-F7,20191209-Plate1-4C,Z2622-F7,Z2622-M7
Plate 1(FC20200305),A1,Z2622-F7,20191209-Plate1-4D,Z2622-F7,Z2622-M7
Plate 1(FC20200305),A1,Z2622-F7,20191209-Plate1-4E,Z2622-F7,Z2622-M7
Plate 1(FC20200305),A1,Z2622-F7,20191209-Plate1-4F,Z2622-F7,Z2622-M7
Plate 1(FC20200305),A1,Z2622-F7,20191217-Plate1-3A,Z2622-F7,Z2622-M8
Plate 1(FC20200305),A1,Z2622-F7,20191217-Plate1-3B,Z2622-F7,Z2622-M8
Plate 1(FC20200305),A1,Z2622-F7,20191217-Plate1-3C,Z2622-F7,Z2622-M8
Plate 1(FC20200305),A1,Z2622-F7,20191217-Plate1-3D,Z2622-F7,Z2622-M8
Plate 1(FC20200305),A1,Z2622-F7,20191217-Plate1-3E,Z2622-F7,Z2622-M8
Plate 1(FC20200305),A1,Z2622-F7,20191217-Plate1-3F,Z2622-F7,Z2622-M8
Plate 1(FC20200305),A1,Z2622-F7,20191217-Plate1-3G,Z2622-F7,Z2622-M8
Plate 1(FC20200305),A1,Z2622-F7,20191217-Plate1-3H,Z2622-F7,Z2622-M8
Plate 1(FC20200305),A1,Z2622-F7,20200114-Plate1-6A,Z2622-F7,Z2622-M9a
Plate 1(FC20200305),A1,Z2622-F7,20200114-Plate1-6B,Z2622-F7,Z2622-M9a
Plate 1(FC20200305),A1,Z2622-F7,20200114-Plate1-6C,Z2622-F7,Z2622-M9a
Plate 1(FC20200305),A1,Z2622-F7,20200114-Plate1-6D,Z2622-F7,Z2622-M9a
Plate 1(FC20200305),A1,Z2622-F7,20200114-Plate1-6E,Z2622-F7,Z2622-M9a
Plate 1(FC20200305),A1,Z2622-F7,20200114-Plate1-6F,Z2622-F7,Z2622-M9a
Plate 1(FC20200305),A1,Z2622-F7,20200114-Plate1-6G,Z2622-F7,Z2622-M9a
Plate 1(FC20200305),A1,Z2622-F7,20200114-Plate1-6H,Z2622-F7,Z2622-M9a
