"fish_id","mother","father"
"20200128_Plate2_12G","NA","NA"
"20200128_Plate2_12H","NA","NA"
"Z2622_F33","NA","NA"
"Z2622_F30","NA","NA"
"Z2622_M2a","NA","NA"
"Z2622_M34","NA","NA"
"Z2622_M35","NA","NA"
"Z2622_M37","NA","NA"
"Z2622_M29","NA","NA"
"Z2622_F36","NA","NA"
"Z2622_F29","NA","NA"
"Z2622_M21","NA","NA"
"Z2622_F2","NA","NA"
"Z2622_M17","NA","NA"
"Z2622_F20","NA","NA"
"Z2622_M1","NA","NA"
"Z2622_M9a","NA","NA"
"Z2622_F40","NA","NA"
"Z2622_M11","NA","NA"
"Z2622_F23","NA","NA"
"Z2622_M3","NA","NA"
"Z2622_F19","NA","NA"
"Z2622_F26","NA","NA"
"Z2622_M8","NA","NA"
"Z2622_M16","NA","NA"
"Z2622_F14","NA","NA"
"Z2622_M13a","NA","NA"
"Z2622_F27","NA","NA"
"Z2622_F22","NA","NA"
"Z2622_F31","NA","NA"
"Z2627_F16a","NA","NA"
"Z2622_M26","NA","NA"
"Z2622_F38","NA","NA"
"Z2622_M27","NA","NA"
"Z2622_F11","NA","NA"
"Z2622_F8","NA","NA"
"Z2622_M20","NA","NA"
"Z2622_F16","NA","NA"
"Z2622_M28","NA","NA"
"Z2622_M30","NA","NA"
"Z2622_M26a","NA","NA"
"Z2622_F17","NA","NA"
"Z2622_M24","NA","NA"
"Z2627_F3a","NA","NA"
"Z2622_F3","NA","NA"
"Z2622_M11a","NA","NA"
"BackupM226227","NA","NA"
"Z2622_F24","NA","NA"
"Z2622_F37","NA","NA"
"Casper","NA","NA"
"Z2622_M23a","NA","NA"
"Z2622_F1","NA","NA"
"Z2622_M18","NA","NA"
"Z2622_M10","NA","NA"
"Z2622_M24a","NA","NA"
"Z2622_M36","NA","NA"
"Z2622_F15","NA","NA"
"Z2622_M15","NA","NA"
"Z2622_M23","NA","NA"
"Z2622_F34","NA","NA"
"Z2622_M5","NA","NA"
"Z2622_M38","NA","NA"
"Z2622_F7","NA","NA"
"Z2627_M30a","NA","NA"
"Z2622_F5","NA","NA"
"Z2622_M2","NA","NA"
"Z2622_M9","NA","NA"
"Z2622_M14a","NA","NA"
"Z2622_F32","NA","NA"
"Z2622_M31","NA","NA"
"Z2622_M22","NA","NA"
"Z2622_F18","NA","NA"
"Z2622_M13b","NA","NA"
"Z2622_M14","NA","NA"
"Z2622_F21","NA","NA"
"Z2622_M25","NA","NA"
"Z2622_M13","NA","NA"
"Z2627_F33a","NA","NA"
"Z2622_M32","NA","NA"
"Z2622_F12","NA","NA"
"Z2622_M19","NA","NA"
"Z2622_F2a","NA","NA"
"Z2622_M12","NA","NA"
"Z2622_M6","NA","NA"
"Z2622_F25","NA","NA"
"Z2622_F9","NA","NA"
"Z2622_F28","NA","NA"
"Z2622_M39","NA","NA"
"Z2622_F13","NA","NA"
"Z2622_M33","NA","NA"
"Z2622_F10","NA","NA"
"Z2622_F6","NA","NA"
"Z2622_M40","NA","NA"
"Z2622_M7","NA","NA"
"Z2622_F35","NA","NA"
"Z2622_M4","NA","NA"
"Z2622_F39","NA","NA"
"Z2622_F4","NA","NA"
"20200121_Plate2_12G","NA","NA"
"20200121_Plate2_12H","NA","NA"
"20200128_Plate1_12H","NA","NA"
"20200128_Plate1_12G","NA","NA"
