"z_number","fish_id","dna_collected_y_n","unique_plate_id","well_id","date_of_birth","date_of_beh_testing","cross_no","mother","father","gender","ld_choice_index","thigmotaxis_index","entry_to_dark_center_point_frequency","entry_to_light_center_point_frequency","ave_duration_dark_entry_cum_duration_frequency_seconds","ave_duration_light_entry_cum_duration_frequency_seconds","latency_to_enter_dark_latency_to_first","latency_to_enter_light_latency_to_first","flexibility_ci_last_30s_ci_first_30s","variance_of_bin_ci_during_test_period","speed_in_dark_center_point_mean","speed_in_light_center_point_mean","ld_ci_ltli_trial12","ld_ci_ltli_trial23","ld_ci_ltli_trial34","homeostatic_learning","ucsd_genotyping_age","rfid"
"Z2622","20191209-Plate1-1A","N","20191209-Plate1","1A","20191204","20191210-20191211",1,"Z2622-F1","Z2622-M1","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_1A"
"Z2622","20191209-Plate1-1B","Y","20191209-Plate1","1B","20191204","20191210-20191211",1,"Z2622-F1","Z2622-M1","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_1B"
"Z2622","20191209-Plate1-1C","N","20191209-Plate1","1C","20191204","20191210-20191211",1,"Z2622-F1","Z2622-M1","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_1C"
"Z2622","20191209-Plate1-1D","Y","20191209-Plate1","1D","20191204","20191210-20191211",1,"Z2622-F1","Z2622-M1","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_1D"
"Z2622","20191209-Plate1-1E","Y","20191209-Plate1","1E","20191204","20191210-20191211",1,"Z2622-F1","Z2622-M1","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_1E"
"Z2622","20191209-Plate1-1F","Y","20191209-Plate1","1F","20191204","20191210-20191211",1,"Z2622-F1","Z2622-M1","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_1F"
"Z2622","20191209-Plate1-1G","Y","20191209-Plate1","1G","20191204","20191210-20191211",3,"Z2622-F3","Z2622-M3","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_1G"
"Z2622","20191209-Plate1-1H","Y","20191209-Plate1","1H","20191204","20191210-20191211",3,"Z2622-F3","Z2622-M3","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_1H"
"Z2622","20191209-Plate1-2A","Y","20191209-Plate1","2A","20191204","20191210-20191211",3,"Z2622-F3","Z2622-M3","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_2A"
"Z2622","20191209-Plate1-2B","Y","20191209-Plate1","2B","20191204","20191210-20191211",3,"Z2622-F3","Z2622-M3","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_2B"
"Z2622","20191209-Plate1-2C","Y","20191209-Plate1","2C","20191204","20191210-20191211",3,"Z2622-F3","Z2622-M3","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_2C"
"Z2622","20191209-Plate1-2D","Y","20191209-Plate1","2D","20191204","20191210-20191211",3,"Z2622-F3","Z2622-M3","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_2D"
"Z2622","20191209-Plate1-2E","Y","20191209-Plate1","2E","20191204","20191210-20191211",3,"Z2622-F3","Z2622-M3","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_2E"
"Z2622","20191209-Plate1-2F","Y","20191209-Plate1","2F","20191204","20191210-20191211",3,"Z2622-F3","Z2622-M3","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_2F"
"Z2622","20191209-Plate1-2G","Y","20191209-Plate1","2G","20191204","20191210-20191211",5,"Z2622-F5","Z2622-M5","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_2G"
"Z2622","20191209-Plate1-2H","Y","20191209-Plate1","2H","20191204","20191210-20191211",5,"Z2622-F5","Z2622-M5","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_2H"
"Z2622","20191209-Plate1-3A","Y","20191209-Plate1","3A","20191204","20191210-20191211",5,"Z2622-F5","Z2622-M5","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_3A"
"Z2622","20191209-Plate1-3B","Y","20191209-Plate1","3B","20191204","20191210-20191211",5,"Z2622-F5","Z2622-M5","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_3B"
"Z2622","20191209-Plate1-3C","Y","20191209-Plate1","3C","20191204","20191210-20191211",5,"Z2622-F5","Z2622-M5","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_3C"
"Z2622","20191209-Plate1-3D","Y","20191209-Plate1","3D","20191204","20191210-20191211",5,"Z2622-F5","Z2622-M5","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_3D"
"Z2622","20191209-Plate1-3E","Y","20191209-Plate1","3E","20191204","20191210-20191211",5,"Z2622-F5","Z2622-M5","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_3E"
"Z2622","20191209-Plate1-3F","Y","20191209-Plate1","3F","20191204","20191210-20191211",5,"Z2622-F5","Z2622-M5","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_3F"
"Z2622","20191209-Plate1-3G","Y","20191209-Plate1","3G","20191204","20191210-20191211",7,"Z2622-F7","Z2622-M7","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191209_Plate1_3G"
